Longitude,Latitude,Pixel,Scan
24.2045435,4.94125217,150,1400
24.373487,4.9350504,200,1400
24.5391194,4.92888735,249,1400
23.6943508,4.82836182,0,1450
23.8634288,4.82242136,50,1450
24.0323935,4.81640049,100,1450
24.201306,4.81029721,150,1450
24.3702278,4.80410938,200,1450
24.535839,4.7979611,249,1450
23.6911251,4.69714719,0,1500
23.8601823,4.69120874,50,1500
24.0291261,4.685191,100,1500
24.1980179,4.67909197,150,1500
24.3669188,4.67290949,200,1500
24.5325097,4.66676754,249,1500
23.6879587,4.5660946,0,1550
23.8569951,4.56016465,50,1550
24.0259182,4.55415655,100,1550
24.1947894,4.54806827,150,1550
24.36367,4.54189769,200,1550
24.529241,4.5357685,249,1550
23.6847392,4.43495391,0,1600
23.8537559,4.42902652,50,1600
24.0226593,4.42302208,100,1600
24.1915107,4.4169386,150,1600
24.3603714,4.41077394,200,1600
24.5259229,4.40465165,249,1600
23.68163,4.30394704,0,1650
23.8506266,4.29802732,50,1650
24.0195103,4.29203169,100,1650
24.1883422,4.28595814,150,1650
24.3571837,4.27980455,200,1650
24.5227166,4.27369421,249,1650
23.6784654,4.17290137,0,1700
23.8474432,4.16698657,50,1700
24.016308,4.160997,100,1700
24.1851211,4.15493064,150,1700
24.3539438,4.14878537,200,1700
24.5194584,4.1426843,249,1700
23.6753631,4.04188876,0,1750
23.8443222,4.03597998,50,1750
24.0131685,4.02999755,100,1750
24.1819633,4.02393948,150,1750
24.3507679,4.01780362,200,1750
24.516265,4.01171288,249,1750
23.6721814,3.91079841,0,1800
23.8411232,3.90489336,50,1800
24.0099521,3.8989158,100,1800
24.1787295,3.89286372,150,1800
24.3475166,3.886735,200,1800
24.5129964,3.88065234,249,1800
23.6690388,3.77978599,0,1850
23.8379634,3.77388283,50,1850
24.0067752,3.76790829,100,1850
24.1755355,3.76186037,150,1850
24.3443054,3.75573694,200,1850
24.5097685,3.74966058,249,1850
23.6659295,3.64874626,0,1900
23.8348375,3.64284803,50,1900
24.0036328,3.63687956,100,1900
24.1723767,3.63083883,150,1900
24.3411304,3.62472374,200,1900
24.5065776,3.61865665,249,1900
23.6627526,3.51755954,0,1950
23.8316452,3.5116535,50,1950
24.000425,3.50567833,100,1950
24.1691532,3.49963203,150,1950
24.3378912,3.49351248,200,1950
24.5033229,3.48744211,249,1950
23.6596538,3.38648225,0,2000
23.8285313,3.38058205,50,2000
23.997296,3.37461385,100,2000
24.1660093,3.36857565,150,2000
24.3347324,3.36246532,200,2000
24.5001495,3.35640509,249,2000
23.656564,3.25536452,0,2050
23.8254272,3.24947067,50,2050
23.9941776,3.24350996,100,2050
24.1628767,3.23748036,150,2050
24.3315855,3.23137978,200,2050
24.4969888,3.22533018,249,2050
23.6535954,3.12440313,0,2100
23.8224438,3.11852143,50,2100
23.9911799,3.11257399,100,2100
24.159865,3.10655881,150,2100
24.3285602,3.10047376,200,2100
24.4939505,3.09444051,249,2100
23.6505066,2.99326843,0,2150
23.819342,2.98739157,50,2150
23.9880651,2.9814501,100,2150
24.1567372,2.97544201,150,2150
24.3254194,2.96936519,200,2150
24.4907969,2.96334109,249,2150
23.6474366,2.86216735,0,2200
23.8162596,2.8562965,50,2200
23.9849702,2.85036216,100,2200
24.1536298,2.84436233,150,2200
24.3222996,2.83829489,200,2200
24.4876649,2.83228109,249,2200
23.6444476,2.7311272,0,2250
23.8132582,2.72526622,50,2250
23.9819567,2.71934289,100,2250
24.1506043,2.71335518,150,2250
24.3192624,2.70730101,200,2250
24.4846164,2.7013013,249,2250
23.6414124,2.60003774,0,2300
23.8102116,2.59418304,50,2300
23.9788988,2.58826712,100,2300
24.1475351,2.58228795,150,2300
24.316182,2.57624344,200,2300
24.4815251,2.57025431,249,2300
23.6384338,2.4690166,0,2350
23.8072217,2.46316812,50,2350
23.9758977,2.45725954,100,2350
24.1445232,2.45128885,150,2350
24.3131593,2.44525395,200,2350
24.4784922,2.43927534,249,2350
23.6354625,2.33797504,0,2400
23.8042397,2.33213329,50,2400
23.9729054,2.32623257,100,2400
24.1415206,2.32027087,150,2400
24.3101468,2.31424609,200,2400
24.47547,2.3082785,249,2400
23.6323893,2.2068394,0,2450
23.8011574,2.20099815,50,2450
23.9698137,2.19509906,100,2450
24.1384196,2.18914011,150,2450
24.3070361,2.18311922,200,2450
24.4723498,2.17715654,249,2450
23.6293715,2.07573448,0,2500
23.7981307,2.06989508,50,2500
23.9667781,2.06399896,100,2500
24.135375,2.05804412,150,2500
24.3039827,2.05202845,200,2500
24.4692877,2.04607199,249,2500
23.6264725,1.94482236,0,2550
23.7952223,1.93899351,50,2550
23.9638607,1.93310907,100,2550
24.132449,1.92716705,150,2550
24.3010482,1.92116536,200,2550
24.4663453,1.9152237,249,2550
23.6235148,1.81371752,0,2600
23.7922568,1.80789382,50,2600
23.9608875,1.80201566,100,2600
24.1294681,1.79608104,150,2600
24.2980599,1.79008787,200,2600
24.4633497,1.78415567,249,2600
23.6204887,1.6825243,0,2650
23.7892241,1.6766996,50,2650
23.957848,1.67082157,100,2650
24.1264218,1.6648882,150,2650
24.2950067,1.65889741,200,2650
24.4602896,1.65296862,249,2650
23.6175682,1.55151194,0,2700
23.7862966,1.54569412,50,2700
23.9549137,1.53982409,100,2700
24.1234809,1.53389986,150,2700
24.2920592,1.52791934,200,2700
24.457336,1.52200173,249,2700
23.6146061,1.42045098,0,2750
23.7833285,1.41463582,50,2750
23.9519396,1.40876959,100,2750
24.1205008,1.40285029,150,2750
24.2890732,1.39687582,200,2750
24.4543442,1.39096525,249,2750
23.611631,1.28934215,0,2800
23.7803482,1.28352777,50,2800
23.948954,1.27766346,100,2800
24.1175099,1.2717472,150,2800
24.2860771,1.26577691,200,2800
24.4513428,1.25987153,249,2800
23.6087314,1.15832911,0,2850
23.7774435,1.1525218,50,2850
23.9460445,1.14666568,100,2850
24.1145956,1.14075875,150,2850
24.283158,1.13479893,200,2850
24.4484193,1.12890492,249,2850
23.6057884,1.02719835,0,2900
23.7744966,1.02139445,50,2900
23.9430936,1.01554287,100,2900
24.1116408,1.0096416,150,2900
24.2801994,1.00368857,200,2900
24.4454568,0.997802309,249,2900
23.602938,0.896174948,0,2950
23.7716421,0.890377134,50,2950
23.9402353,0.884532768,100,2950
24.1087789,0.878639846,150,2950
24.2773341,0.872696293,200,2950
24.4425885,0.866820419,249,2950
23.6000471,0.765177004,0,3000
23.7687481,0.759386091,50,3000
23.9373382,0.753549765,100,3000
24.1058787,0.747666021,150,3000
24.2744309,0.741732789,200,3000
24.4396824,0.735868142,249,3000
23.5972104,0.634222415,0,3050
23.7659084,0.62843972,50,3050
23.9344957,0.62261275,100,3050
24.1030337,0.616739503,150,3050
24.2715835,0.61081791,200,3050
24.4368329,0.604965784,249,3050
23.5942581,0.503069918,0,3100
23.762955,0.49728822,50,3100
23.931541,0.491463376,100,3100
24.1000775,0.485593383,150,3100
24.2686258,0.479676174,200,3100
24.4338735,0.473829441,249,3100
23.5913373,0.372007783,0,3150
23.7600333,0.366230624,50,3150
23.9286184,0.360411456,100,3150
24.0971539,0.354548277,150,3150
24.2657009,0.348639021,200,3150
24.4309474,0.342801192,249,3150
23.5884847,0.241044653,0,3200
23.7571797,0.235271258,50,3200
23.9257639,0.229456998,100,3200
24.0942985,0.223599869,150,3200
24.2628448,0.217697809,200,3200
24.4280906,0.211868145,249,3200
23.5855915,0.109853634,0,3250
23.754287,0.104078896,50,3250
23.9228716,0.0982644135,100,3250
24.0914067,0.0924081818,150,3250
24.2599534,0.0865081376,200,3250
24.4251996,0.0806815379,249,3250
23.5827097,-0.0212419892,0,3300
23.7514062,-0.0270124718,50,3300
23.9199917,-0.0328215673,100,3300
24.0885276,-0.0386712794,150,3300
24.2570752,-0.0445636694,200,3300
24.4223221,-0.0503816639,249,3300
23.5799423,-0.152230603,0,3350
23.7486394,-0.157994743,50,3350
23.9172258,-0.163796363,100,3350
24.0857628,-0.169637465,150,3350
24.2543118,-0.175520109,200,3350
24.4195603,-0.181327444,249,3350
23.5771401,-0.283224853,0,3400
23.7458388,-0.288978428,50,3400
23.914427,-0.294768344,100,3400
24.082966,-0.300596603,150,3400
24.2515169,-0.306465259,200,3400
24.4167675,-0.312257772,249,3400
23.5742759,-0.414370085,0,3450
23.7429777,-0.420120363,50,3450
23.9115687,-0.425905855,100,3450
24.0801105,-0.431728563,150,3450
24.2486642,-0.437590538,200,3450
24.4139173,-0.443375404,249,3450
23.5714695,-0.545452431,0,3500
23.7401743,-0.551199703,50,3500
23.9087685,-0.556981059,100,3500
24.0773134,-0.562798501,150,3500
24.2458704,-0.568654079,200,3500
24.4111269,-0.574431575,249,3500
23.5687022,-0.676422826,0,3550
23.7374101,-0.682165614,50,3550
23.9060076,-0.687941347,100,3550
24.074556,-0.693752023,150,3550
24.2431166,-0.699599694,200,3550
24.4083767,-0.705368329,249,3550
23.5659709,-0.807439946,0,3600
23.7346826,-0.813176825,50,3600
23.9032841,-0.818945515,100,3600
24.0718367,-0.824748018,150,3600
24.2404018,-0.83058638,200,3600
24.4056666,-0.836344787,249,3600
23.5632477,-0.93843313,0,3650
23.7319634,-0.944169778,50,3650
23.9005693,-0.949937102,100,3650
24.0691265,-0.955737105,150,3650
24.2376965,-0.961571832,200,3650
24.4029664,-0.967325575,249,3650
23.5604705,-1.0693845,0,3700
23.7291914,-1.07511666,50,3700
23.8978024,-1.08087835,100,3700
24.0663648,-1.08667157,150,3700
24.2349401,-1.09249837,200,3700
24.4002152,-1.09824322,249,3700
23.5577314,-1.20044464,0,3750
23.7264583,-1.20617066,50,3750
23.8950754,-1.21192508,100,3750
24.0636441,-1.21770989,150,3750
24.2322256,-1.22352715,200,3750
24.3975071,-1.22926155,249,3750
23.5548947,-1.33160357,0,3800
23.723629,-1.33732893,50,3800
23.8922533,-1.34308155,100,3800
24.0608291,-1.34886345,150,3800
24.2294175,-1.35467665,200,3800
24.3947056,-1.36040597,249,3800
23.5521338,-1.46272443,0,3850
23.7208756,-1.46844749,50,3850
23.8895074,-1.4741967,100,3850
24.0580908,-1.47997405,150,3850
24.2266868,-1.48578158,200,3850
24.3919823,-1.49150425,249,3850
23.5494537,-1.59373894,0,3900
23.7182029,-1.59945481,50,3900
23.8868424,-1.60519568,100,3900
24.0554337,-1.61096356,150,3900
24.2240379,-1.61676049,200,3900
24.3893416,-1.62247165,249,3900
23.5466734,-1.72486701,0,3950
23.7154317,-1.73057924,50,3950
23.8840801,-1.73631535,100,3950
24.0526802,-1.74207733,150,3950
24.2212931,-1.74786722,200,3950
24.3866054,-1.75357039,249,3950
23.5440035,-1.85588039,0,4000
23.7127703,-1.86158631,50,4000
23.8814276,-1.86731498,100,4000
24.0500368,-1.87306838,150,4000
24.218659,-1.87884855,200,4000
24.3839806,-1.8845411,249,4000
23.5412384,-1.98703538,0,4050
23.7100152,-1.99274685,50,4050
23.8786825,-1.99847992,100,4050
24.0473016,-2.00423661,150,4050
24.2159337,-2.01001895,200,4050
24.381265,-2.01571251,249,4050
23.5385536,-2.1180716,0,4100
23.7073405,-2.12377948,50,4100
23.876018,-2.12950783,100,4100
24.0446474,-2.13525867,150,4100
24.21329,-2.14103401,200,4100
24.3786316,-2.14671962,249,4100
23.5358887,-2.24914562,0,4150
23.7046864,-2.25484743,50,4150
23.8733748,-2.26056859,100,4150
24.0420153,-2.26631109,150,4150
24.2106692,-2.27207697,200,4150
24.3760221,-2.27775219,249,4150
23.533181,-2.38022242,0,4200
23.7019904,-2.38591907,50,4200
23.8706906,-2.39163393,100,4200
24.0393429,-2.397369,150,4200
24.2080085,-2.40312631,200,4200
24.3733728,-2.40879203,249,4200
23.5304559,-2.51131688,0,4250
23.6992779,-2.51701065,50,4250
23.8679905,-2.52272149,100,4250
24.0366551,-2.52845141,150,4250
24.205333,-2.53420242,200,4250
24.3707093,-2.53986087,249,4250
23.5278577,-2.64229229,0,4300
23.6966918,-2.64797727,50,4300
23.8654167,-2.65367818,100,4300
24.034094,-2.65939703,150,4300
24.2027848,-2.66513584,200,4300
24.3681741,-2.67078121,249,4300
23.5251223,-2.77345118,0,4350
23.6939704,-2.77913487,50,4350
23.8627093,-2.78483336,100,4350
24.0314003,-2.79054866,150,4350
24.2001048,-2.79628278,200,4350
24.3655072,-2.80192245,249,4350
23.5224768,-2.90451428,0,4400
23.6913388,-2.91019334,50,4400
23.8600917,-2.91588607,100,4400
24.0287968,-2.92159447,150,4400
24.1975154,-2.92732056,200,4400
24.3629318,-2.93295125,249,4400
23.5198524,-3.03555057,0,4450
23.6887288,-3.04122469,50,4450
23.8574961,-3.04691134,100,4450
24.0262158,-3.05261253,150,4450
24.1949492,-3.05833026,200,4450
24.3603802,-3.06395165,249,4450
23.5172595,-3.16653854,0,4500
23.6861506,-3.17220566,50,4500
23.8549328,-3.17788417,100,4500
24.0236676,-3.18357608,150,4500
24.1924162,-3.18928338,200,4500
24.3578624,-3.19489345,249,4500
23.514629,-3.29765609,0,4550
23.683536,-3.30331978,50,4550
23.8523342,-3.30899374,100,4550
24.0210851,-3.31467995,150,4550
24.1898499,-3.32038044,200,4550
24.3553121,-3.32598272,249,4550
23.5119993,-3.42870957,0,4600
23.6809226,-3.43437056,50,4600
23.8497372,-3.44004067,100,4600
24.0185045,-3.44572191,150,4600
24.1872858,-3.45141627,200,4600
24.3527642,-3.45701144,249,4600
23.5093877,-3.55975029,0,4650
23.6783279,-3.56540657,50,4650
23.8471595,-3.57107084,100,4650
24.0159439,-3.57674508,150,4650
24.1847423,-3.58243132,200,4650
24.3502375,-3.58801741,249,4650
23.5067084,-3.69086515,0,4700
23.6756668,-3.69652083,50,4700
23.8445164,-3.70218334,100,4700
24.0133186,-3.70785471,150,4700
24.1821347,-3.71353692,200,4700
24.3476471,-3.71911796,249,4700
23.5041667,-3.8218785,0,4750
23.6731428,-3.82752791,50,4750
23.8420103,-3.83318302,100,4750
24.0108307,-3.83884584,150,4750
24.1796653,-3.84451837,200,4750
24.3451961,-3.85008881,249,4750
23.5015544,-3.95305805,0,4800
23.6705497,-3.9587073,50,4800
