Longitude,Latitude,Pixel,Scan
21.4780307,-22.5782802,50,1350
21.3393008,-22.5777276,100,1350
21.2006811,-22.5770486,150,1350
21.062134,-22.5762433,200,1350
20.926392,-22.5753313,249,1350
21.6164478,-22.4431523,0,1400
21.4777119,-22.4427413,50,1400
21.339124,-22.4422045,100,1400
21.2006462,-22.4415421,150,1400
21.0622408,-22.4407542,200,1400
20.9266377,-22.4398601,249,1400
21.6159942,-22.3076012,0,1450
21.4773993,-22.3072053,50,1450
21.3389523,-22.3066844,100,1450
21.2006152,-22.3060387,150,1450
21.0623506,-22.3052682,200,1450
20.9268853,-22.3043919,249,1450
21.6155424,-22.1720382,0,1500
21.4770875,-22.1716574,50,1500
21.3387803,-22.1711524,100,1500
21.200583,-22.1705233,150,1500
21.062458,-22.1697702,200,1500
20.9271296,-22.1689118,249,1500
21.6150893,-22.0364836,0,1550
21.4767733,-22.0361176,50,1550
21.3386049,-22.0356282,100,1550
21.2005462,-22.0350155,150,1550
21.0625598,-22.0342796,200,1550
20.9273671,-22.0334389,249,1550
21.6146417,-21.9009305,0,1600
21.4764636,-21.9005795,50,1600
21.3384328,-21.9001059,100,1600
21.2005118,-21.8995098,150,1600
21.0626629,-21.8987914,200,1600
20.927605,-21.8979685,249,1600
21.6141939,-21.7653642,0,1650
21.4761526,-21.7650285,50,1650
21.3382585,-21.7645709,100,1650
21.200474,-21.7639917,150,1650
21.0627616,-21.7632909,200,1650
20.9278374,-21.7624861,249,1650
21.613751,-21.6298152,0,1700
21.4758454,-21.6294943,50,1700
21.3380869,-21.6290523,100,1700
21.2004379,-21.6284894,150,1700
21.062861,-21.6278057,200,1700
20.9280694,-21.6270184,249,1700
21.6133123,-21.494248,0,1750
21.4755414,-21.4939421,50,1750
21.3379175,-21.493516,100,1750
21.2004029,-21.4929697,150,1750
21.0629604,-21.4923034,200,1750
20.9283005,-21.491534,249,1750
21.6128757,-21.3586853,0,1800
21.4752385,-21.3583945,50,1800
21.337748,-21.3579841,100,1800
21.2003669,-21.3574544,150,1800
21.0630577,-21.3568054,200,1800
20.9285285,-21.3560537,249,1800
21.6124358,-21.223127,0,1850
21.4749312,-21.222851,50,1850
21.3375732,-21.2224563,100,1850
21.2003245,-21.221943,150,1850
21.0631476,-21.2213113,200,1850
20.928748,-21.2205773,249,1850
21.6119977,-21.0875658,0,1900
21.4746247,-21.0873046,50,1900
21.3373982,-21.0869255,100,1900
21.2002808,-21.0864286,150,1900
21.0632352,-21.085814,200,1900
20.9289642,-21.0850976,249,1900
21.6115639,-20.9519974,0,1950
21.4743215,-20.9517515,50,1950
21.3372254,-20.9513884,100,1950
21.2002384,-20.9509082,150,1950
21.063323,-20.9503112,200,1950
20.9291796,-20.9496128,249,1950
21.6111311,-20.8164385,0,2000
21.4740182,-20.8162076,50,2000
21.3370516,-20.8158603,100,2000
21.2001938,-20.8153967,150,2000
21.0634077,-20.8148171,200,2000
20.9293909,-20.8141364,249,2000
21.6107093,-20.6808787,0,2050
21.4737248,-20.6806628,50,2050
21.3368865,-20.6803313,100,2050
21.2001571,-20.6798843,150,2050
21.0634992,-20.679322,200,2050
20.9296081,-20.678659,249,2050
21.6102772,-20.5453111,0,2100
21.4734203,-20.5451104,50,2100
21.3367094,-20.5447948,100,2100
21.2001072,-20.5443645,150,2100
21.0635765,-20.5438198,200,2100
20.9298101,-20.5431747,249,2100
21.6098503,-20.4097518,0,2150
21.4731199,-20.409566,50,2150
21.3365354,-20.4092662,100,2150
21.2000594,-20.4088524,150,2150
21.0636549,-20.4083249,200,2150
20.9300121,-20.4076975,249,2150
21.6094251,-20.2741814,0,2200
21.4728201,-20.2740107,50,2200
21.336361,-20.2737267,100,2200
21.2000103,-20.2733295,150,2200
21.063731,-20.2728194,200,2200
20.9302108,-20.2722098,249,2200
21.6090025,-20.1386124,0,2250
21.4725221,-20.1384568,50,2250
21.3361873,-20.1381886,100,2250
21.1999608,-20.1378081,150,2250
21.0638057,-20.1373153,200,2250
20.9304072,-20.1367235,249,2250
21.6085844,-20.0030481,0,2300
21.4722274,-20.0029076,50,2300
21.3360159,-20.0026552,100,2300
21.1999128,-20.0022913,150,2300
21.0638808,-20.001816,200,2300
20.9306031,-20.001242,249,2300
21.6081634,-19.8674815,0,2350
21.471929,-19.8673558,50,2350
21.3358399,-19.8671191,100,2350
21.199859,-19.8667716,150,2350
21.0639493,-19.8663134,200,2350
20.9307912,-19.865757,249,2350
21.6077477,-19.7319212,0,2400
21.4716347,-19.7318103,50,2400
21.335667,-19.7315892,100,2400
21.1998073,-19.731258,150,2400
21.0640188,-19.7308169,200,2400
20.9309796,-19.730278,249,2400
21.6073362,-19.5963424,0,2450
21.4713437,-19.5962466,50,2450
21.3354964,-19.5960414,100,2450
21.199757,-19.5957268,150,2450
21.0640888,-19.595303,200,2450
20.9311673,-19.5947819,249,2450
21.6069305,-19.4607713,0,2500
21.4710575,-19.4606905,50,2500
21.3353295,-19.4605008,100,2500
21.1997095,-19.4602026,150,2500
21.0641605,-19.459796,200,2500
20.9313559,-19.4592925,249,2500
21.6065266,-19.3252053,0,2550
21.4707721,-19.3251392,50,2550
21.3351625,-19.3249652,100,2550
21.1996608,-19.3246834,150,2550
21.0642301,-19.3242939,200,2550
20.9315414,-19.3238078,249,2550
21.6061203,-19.1896299,0,2600
21.4704833,-19.1895788,50,2600
21.3349912,-19.1894204,100,2600
21.1996068,-19.1891551,150,2600
21.0642934,-19.1887829,200,2600
20.9317196,-19.1883144,249,2600
21.6057155,-19.054062,0,2650
21.4701951,-19.0540261,50,2650
21.3348194,-19.0538836,100,2650
21.1995514,-19.053635,150,2650
21.0643543,-19.0532802,200,2650
20.9318945,-19.0528296,249,2650
21.6053138,-18.9184893,0,2700
21.469909,-18.9184686,50,2700
21.3346488,-18.9183421,100,2700
21.1994963,-18.9181101,150,2700
21.0644145,-18.9177727,200,2700
20.9320678,-18.91734,249,2700
21.6049158,-18.7829156,0,2750
21.4696257,-18.7829098,50,2750
21.33448,-18.7827989,100,2750
21.1994419,-18.7825833,150,2750
21.0644746,-18.7822631,200,2750
20.9322399,-18.7818478,249,2750
21.6045159,-18.6473458,0,2800
21.4693394,-18.647355,50,2800
21.3343074,-18.6472599,100,2800
21.1993827,-18.6470609,150,2800
21.0645289,-18.6467579,200,2800
20.9324054,-18.6463604,249,2800
21.6041145,-18.5117728,0,2850
21.4690508,-18.511797,50,2850
21.3341314,-18.5117176,100,2850
21.1993193,-18.5115351,150,2850
21.0645779,-18.5112494,200,2850
20.9325646,-18.5108695,249,2850
21.6037167,-18.3762003,0,2900
21.4687647,-18.3762393,50,2900
21.3339569,-18.3761755,100,2900
21.1992564,-18.3760093,150,2900
21.0646266,-18.3757407,200,2900
20.9327225,-18.3753783,249,2900
21.6033236,-18.2406239,0,2950
21.4684825,-18.240678,50,2950
21.3337854,-18.24063,100,2950
21.1991956,-18.2404803,150,2950
21.0646762,-18.240229,200,2950
20.9328806,-18.2398843,249,2950
21.6029317,-18.1050516,0,3000
21.4682005,-18.1051206,50,3000
21.3336132,-18.1050884,100,3000
21.199133,-18.1049553,150,3000
21.0647233,-18.1047213,200,3000
20.9330351,-18.1043942,249,3000
21.6025377,-17.9694634,0,3050
21.4679154,-17.9695474,50,3050
21.3334369,-17.969531,100,3050
21.1990655,-17.9694142,150,3050
21.0647645,-17.9691975,200,3050
20.9331827,-17.968888,249,3050
21.6021494,-17.8338964,0,3100
21.4676351,-17.8339955,50,3100
21.3332645,-17.8339948,100,3100
21.1990008,-17.8338946,150,3100
21.0648076,-17.8336951,200,3100
20.9333314,-17.8334033,249,3100
21.6017669,-17.698321,0,3150
21.4673596,-17.6984351,50,3150
21.3330959,-17.6984503,100,3150
21.1989392,-17.6983666,150,3150
21.0648528,-17.6981844,200,3150
20.9334812,-17.6979103,249,3150
21.6013852,-17.562745,0,3200
21.467084,-17.5628743,50,3200
21.3329263,-17.5629052,100,3200
21.1988755,-17.5628381,150,3200
21.064895,-17.5626732,200,3200
20.9336272,-17.5624168,249,3200
21.6010075,-17.4271636,0,3250
21.4668115,-17.4273079,50,3250
21.3327589,-17.4273546,100,3250
21.198813,-17.4273041,150,3250
21.0649375,-17.4271565,200,3250
20.9337726,-17.4269177,249,3250
21.6006332,-17.2915851,0,3300
21.4665414,-17.2917443,50,3300
21.3325929,-17.2918066,100,3300
21.1987511,-17.2917725,150,3300
21.0649796,-17.2916419,200,3300
