id,src_x,src_y,ref_x,ref_y,scale_src,scale_ref,ratio,inlier
0,26.485458374023438,311.01318359375,30.859066009521484,294.5572204589844,10.263056755065918,10.467266082763672,0.6052558861606929,True
1,30.586620330810547,185.30062866210938,42.67948532104492,176.62669372558594,3.1242384910583496,3.074779748916626,0.7133338045992299,True
2,30.95575714111328,177.32359313964844,41.93474197387695,162.1582794189453,3.026557445526123,2.9328324794769287,0.26922144130801695,True
3,33.6695442199707,162.99681091308594,44.941383361816406,148.0687713623047,5.263472080230713,5.602893352508545,0.306483794511302,True
4,34.92246627807617,329.4834289550781,37.822994232177734,313.1524963378906,2.6279542446136475,2.3184714317321777,0.6464019965897756,True
5,35.09052658081055,316.9453430175781,38.922813415527344,300.373779296875,2.915027379989624,2.979142904281616,0.6026405278275881,True
6,35.360137939453125,312.109130859375,39.374088287353516,295.9971923828125,2.6319682598114014,2.8079164028167725,0.628482450584895,True
7,37.414390563964844,199.05593872070312,46.98993682861328,184.10464477539062,3.0415027141571045,3.161407232284546,0.8106273642892404,True
8,37.7898063659668,152.58724975585938,49.80136489868164,137.91993713378906,2.800244092941284,2.83756685256958,0.3784193775030348,True
9,38.13014602661133,294.8971862792969,42.9150276184082,279.21820068359375,6.1802754402160645,5.974947929382324,0.20077914349338802,True
10,38.77317428588867,328.27886962890625,186.82205200195312,370.6783447265625,2.6680305004119873,3.1532142162323,0.7828813701939014,False
11,42.0775146484375,333.3185119628906,105.44808197021484,194.1480712890625,3.00943660736084,3.1095659732818604,0.7261688332663909,False
12,42.77812576293945,338.3442687988281,45.56741714477539,322.5563659667969,2.4671008586883545,2.340287446975708,0.5744845824533965,True
13,43.079044342041016,203.0457305908203,52.404239654541016,188.12509155273438,3.021101713180542,3.0812251567840576,0.748725630062422,True
14,44.59589385986328,78.55970764160156,60.44253921508789,64.95075225830078,2.4410674571990967,2.3619511127471924,0.7226342835287357,True
15,48.38680648803711,166.36366271972656,59.33748245239258,152.36436462402344,1.9718656539916992,1.9336410760879517,0.36804677351966697,True
16,52.11103439331055,158.88430786132812,63.66856384277344,145.02650451660156,11.314837455749512,11.061161041259766,0.3231374863409834,True
17,54.88999557495117,82.23506164550781,70.23870086669922,68.94373321533203,3.224517822265625,3.039238452911377,0.5149346096618902,True
18,55.913692474365234,180.7645721435547,66.53079223632812,166.70616149902344,16.464574813842773,16.23107147216797,0.5116075621459045,True
19,56.611141204833984,241.5387420654297,60.973873138427734,225.35107421875,39.57069396972656,35.71049118041992,0.5642538360386765,True
20,57.56723403930664,79.08609771728516,72.90351867675781,66.08486938476562,2.0016613006591797,2.0238232612609863,0.5913720281545908,True
21,61.445594787597656,341.5794677734375,63.815242767333984,326.4574279785156,2.822777271270752,3.058459997177124,0.7744769743153731,True
22,62.076995849609375,212.1284637451172,70.19172668457031,197.900634765625,8.46704387664795,8.309920310974121,0.28362237225156284,True
23,69.64142608642578,149.08572387695312,81.90299224853516,136.150390625,5.2549920082092285,5.475491046905518,0.1662135759406027,True
24,73.01512908935547,156.9368133544922,84.43023681640625,144.04957580566406,4.154767036437988,4.0986647605896,0.32193558463142147,True
