match_id,descriptor,scale,geometry,terrain,photometric,spatial,final_confidence,accepted,rejection_reason
79,0.59,0.964,0.995,0.733,0.543,0.339,0.738,True,
80,0.796,0.995,0.999,1.0,0.438,0.377,0.815,True,
81,0.86,1.0,0.992,0.867,0.56,0.339,0.816,True,
82,0.828,1.0,0.992,0.867,0.56,0.339,0.811,True,
83,0.818,0.999,0.998,1.0,0.55,0.377,0.837,True,
84,0.885,0.999,1.0,1.0,0.469,0.377,0.834,True,
85,0.658,1.0,0.999,0.867,0.323,0.455,0.744,True,
86,0.91,0.998,0.999,1.0,0.692,0.339,0.869,True,
87,0.618,0.984,1.0,1.0,0.543,0.357,0.801,True,
88,0.653,0.996,0.998,1.0,0.401,0.377,0.788,True,
89,0.63,1.0,1.0,1.0,0.459,0.357,0.793,True,
90,0.693,0.998,0.999,0.867,0.431,0.526,0.793,True,
91,0.695,0.991,1.0,1.0,0.425,0.377,0.799,True,
92,0.965,1.0,0.999,1.0,0.094,0.339,0.79,True,
93,0.98,1.0,0.999,1.0,0.094,0.339,0.792,True,
94,0.903,0.997,0.992,0.867,0.346,0.377,0.792,True,
95,0.844,0.998,0.997,0.733,0.132,0.455,0.722,True,
96,0.779,0.995,1.0,1.0,0.455,0.357,0.817,True,
97,0.781,0.986,0.999,1.0,0.516,0.357,0.823,True,
98,0.985,1.0,0.998,0.867,0.256,0.526,0.81,True,
99,0.589,0.446,0.0,0.467,0.412,0.455,0.356,False,"Rejected: High geometric residual (score: 0.00, final: 0.36)"
100,0.972,1.0,0.997,0.733,0.544,0.455,0.804,True,
101,0.947,0.998,1.0,1.0,0.092,0.357,0.787,True,
102,0.768,0.998,1.0,1.0,0.092,0.357,0.76,True,
103,0.639,0.992,0.999,1.0,0.425,0.357,0.791,True,
104,0.914,0.999,0.999,1.0,0.476,0.357,0.841,True,
105,0.425,0.984,0.999,1.0,0.733,0.357,0.801,True,
106,0.37,1.0,0.0,0.733,0.488,0.377,0.463,False,"Rejected: High geometric residual (score: 0.00, final: 0.46)"
107,0.382,0.995,1.0,0.867,0.411,0.526,0.743,True,
108,0.815,0.988,1.0,1.0,0.435,0.377,0.818,True,
109,0.842,1.0,0.993,1.0,0.393,0.4,0.819,True,
110,0.957,1.0,0.993,1.0,0.393,0.4,0.836,True,
111,0.706,0.999,0.996,1.0,0.077,0.357,0.748,True,
112,0.71,0.999,0.996,1.0,0.077,0.357,0.748,True,
113,0.799,0.986,0.981,1.0,0.411,0.377,0.814,True,
114,0.955,1.0,1.0,1.0,0.473,0.339,0.846,True,
115,0.439,0.941,0.0,0.6,0.615,0.4,0.459,False,"Rejected: High geometric residual (score: 0.00, final: 0.46)"
116,0.832,0.993,1.0,1.0,0.53,0.4,0.836,True,
117,0.884,1.0,0.997,1.0,0.502,0.769,0.856,True,
118,0.5,0.998,0.999,0.867,0.558,0.769,0.787,True,
119,0.927,0.999,0.962,0.867,0.427,0.69,0.842,True,
120,0.836,0.983,0.993,1.0,0.577,0.4,0.841,True,
121,0.875,0.999,0.996,0.867,0.335,0.455,0.782,True,
122,0.922,1.0,1.0,0.867,0.205,0.455,0.772,True,
123,0.912,1.0,1.0,1.0,0.11,0.4,0.785,True,
124,0.953,0.998,0.997,1.0,0.682,0.4,0.877,True,
125,0.79,1.0,0.999,1.0,0.1,0.4,0.765,True,
126,0.913,0.994,1.0,1.0,0.752,0.357,0.879,True,
127,0.627,0.998,0.953,0.867,0.288,0.377,0.743,True,
128,0.385,0.996,0.0,0.467,0.469,0.526,0.424,False,"Rejected: High geometric residual (score: 0.00, final: 0.42)"
129,0.91,1.0,0.998,1.0,0.498,0.769,0.861,True,
130,0.857,1.0,1.0,0.867,0.428,0.455,0.796,True,
131,0.666,0.994,0.999,0.867,0.434,0.455,0.765,True,
132,0.982,0.999,1.0,0.867,0.702,0.526,0.878,True,
133,0.763,1.0,1.0,1.0,0.451,0.377,0.815,True,
134,0.986,0.998,1.0,1.0,0.641,0.339,0.876,True,
135,0.935,0.998,1.0,1.0,0.641,0.339,0.869,True,
136,0.969,1.0,0.992,0.867,0.333,0.526,0.821,True,
137,0.914,1.0,1.0,0.867,0.499,0.69,0.854,True,
138,0.932,1.0,1.0,1.0,0.463,0.339,0.841,True,
139,0.958,1.0,1.0,1.0,0.528,0.339,0.853,True,
140,0.987,1.0,1.0,1.0,0.094,0.4,0.792,True,
141,0.987,1.0,1.0,1.0,0.094,0.4,0.792,True,
142,0.721,1.0,1.0,0.867,0.459,0.69,0.819,True,
143,0.968,0.994,0.995,0.867,0.382,0.526,0.827,True,
144,0.886,0.996,0.996,1.0,0.103,0.455,0.782,True,
145,0.896,0.994,0.998,1.0,0.489,0.339,0.836,True,
146,0.98,1.0,0.993,1.0,0.243,0.4,0.816,True,
147,0.474,0.999,0.002,0.467,0.501,0.69,0.459,False,"Rejected: High geometric residual (score: 0.00, final: 0.46)"
148,0.964,1.0,1.0,1.0,0.505,0.339,0.85,True,
149,0.503,0.986,1.0,1.0,0.462,0.377,0.775,True,
150,0.553,0.98,0.964,1.0,0.557,0.357,0.798,True,
151,0.871,0.999,0.999,1.0,0.416,0.357,0.823,True,
152,0.855,0.997,1.0,1.0,0.494,0.323,0.831,True,
153,0.89,1.0,1.0,0.867,0.764,0.357,0.857,True,
154,0.753,0.998,1.0,1.0,0.342,0.294,0.793,True,
155,0.755,0.997,0.998,1.0,0.146,0.377,0.758,True,
156,0.479,0.999,1.0,1.0,0.497,0.377,0.767,True,
157,0.476,0.994,0.999,0.867,0.507,0.294,0.749,True,
158,0.901,0.999,1.0,1.0,0.696,0.377,0.864,True,
159,0.444,1.0,0.997,0.867,0.247,0.526,0.727,True,
160,0.985,1.0,0.999,1.0,0.332,0.323,0.828,True,
161,0.866,0.996,0.998,1.0,0.789,0.526,0.896,True,
162,0.858,0.998,1.0,1.0,0.647,0.357,0.855,True,
163,0.92,0.999,1.0,1.0,0.57,0.357,0.851,True,
164,0.863,0.996,0.999,1.0,0.623,0.357,0.857,True,
165,0.881,0.999,1.0,1.0,0.41,0.323,0.825,True,
166,0.913,0.999,1.0,1.0,0.41,0.323,0.829,True,
167,0.79,1.0,1.0,1.0,0.222,0.87,0.817,True,
168,0.719,1.0,1.0,1.0,0.222,0.87,0.806,True,
169,0.964,1.0,1.0,1.0,0.077,0.357,0.791,True,
170,0.911,0.995,0.998,1.0,0.624,0.377,0.854,True,
171,0.842,0.999,1.0,1.0,0.822,0.526,0.896,True,
172,0.9,1.0,1.0,1.0,0.224,0.323,0.8,True,
173,0.618,0.999,0.999,0.867,0.51,0.294,0.771,True,
174,0.89,0.997,0.999,1.0,0.61,0.357,0.86,True,
175,0.838,0.998,0.965,1.0,0.399,0.571,0.835,True,
176,0.934,1.0,0.999,1.0,0.349,0.294,0.822,True,
177,0.918,0.999,1.0,1.0,0.577,0.323,0.855,True,
178,0.734,0.999,1.0,1.0,0.599,0.294,0.829,True,
179,0.906,0.999,1.0,1.0,0.371,0.294,0.82,True,
180,0.949,1.0,1.0,1.0,0.665,0.357,0.878,True,
181,0.631,0.976,0.999,1.0,0.255,0.357,0.765,True,
182,0.878,0.999,1.0,1.0,0.38,0.294,0.817,True,
183,0.914,1.0,0.996,1.0,0.705,0.323,0.873,True,
184,0.95,1.0,0.984,1.0,0.485,0.377,0.838,True,
185,0.845,0.994,1.0,1.0,0.631,0.357,0.845,True,
186,0.901,1.0,1.0,1.0,0.094,0.357,0.778,True,
187,0.938,0.995,0.997,1.0,0.545,0.294,0.85,True,
188,0.87,0.998,0.999,1.0,0.309,0.526,0.824,True,
189,0.973,0.999,0.99,1.0,0.138,0.323,0.798,True,
190,0.933,0.999,1.0,1.0,0.593,0.323,0.86,True,
191,0.93,1.0,1.0,1.0,0.505,0.526,0.863,True,
192,0.979,0.999,1.0,1.0,0.486,0.357,0.855,True,
193,0.929,0.999,1.0,1.0,0.486,0.357,0.847,True,
194,0.497,0.99,1.0,1.0,0.541,0.571,0.802,True,
195,0.941,1.0,0.999,1.0,0.481,0.377,0.834,True,
196,0.818,1.0,1.0,0.867,0.515,0.377,0.792,True,
197,0.965,0.999,1.0,1.0,0.415,0.357,0.833,True,
198,0.984,0.999,1.0,1.0,0.415,0.357,0.836,True,
199,0.839,1.0,0.999,0.867,0.357,0.377,0.77,True,
200,0.907,0.996,0.999,1.0,0.489,0.357,0.844,True,
201,0.948,1.0,0.997,1.0,0.561,0.357,0.862,True,
202,0.797,1.0,0.998,1.0,0.515,0.357,0.824,True,
203,0.789,1.0,0.998,1.0,0.554,0.571,0.851,True,
204,0.961,1.0,1.0,1.0,0.54,0.357,0.86,True,
205,0.888,0.998,1.0,1.0,0.126,0.294,0.781,True,
206,0.745,0.999,1.0,0.867,0.519,0.377,0.781,True,
207,0.913,0.999,1.0,1.0,0.332,0.357,0.814,True,
208,0.612,1.0,0.998,1.0,0.544,0.323,0.804,True,
209,0.958,1.0,0.999,1.0,0.365,0.357,0.827,True,
210,0.879,1.0,1.0,1.0,0.607,0.357,0.847,True,
211,0.895,1.0,1.0,1.0,0.076,0.323,0.776,True,
212,0.85,1.0,0.994,1.0,0.6,0.294,0.847,True,
213,0.89,0.999,1.0,1.0,0.566,0.357,0.853,True,
214,0.448,1.0,0.912,0.6,0.508,0.377,0.679,False,Rejected: Exceeded USAC-MAGSAC geometric residual threshold (9.33 px > 7.0 px)
215,0.802,0.996,1.0,1.0,0.525,0.571,0.847,True,
216,0.913,1.0,1.0,1.0,0.588,0.357,0.852,True,
