Longitude,Latitude,Pixel,Scan
338.970019,-27.6698177,150,1400
338.831084,-27.6691997,200,1400
338.694891,-27.6684374,249,1400
339.386313,-27.5342165,0,1450
339.247508,-27.5340814,50,1450
339.108772,-27.5337857,100,1450
338.97007,-27.5333298,150,1450
338.831364,-27.5327135,200,1450
338.695395,-27.5319537,249,1450
339.38568,-27.3977259,0,1500
339.247103,-27.3975895,50,1500
339.108594,-27.3972937,100,1500
338.970119,-27.3968385,150,1500
338.831641,-27.3962238,200,1500
338.695895,-27.3954665,249,1500
339.385048,-27.2612346,0,1550
339.246697,-27.2610972,50,1550
339.108414,-27.2608012,100,1550
338.970165,-27.2603467,150,1550
338.831913,-27.2597337,200,1550
338.696388,-27.258979,249,1550
339.384421,-27.1247197,0,1600
339.246294,-27.1245812,50,1600
339.108237,-27.124285,100,1600
338.970212,-27.1238312,150,1600
338.832184,-27.1232199,200,1600
338.696879,-27.1224676,249,1600
339.383798,-26.9882115,0,1650
339.245895,-26.9880718,50,1650
339.10806,-26.9877753,100,1650
338.970259,-26.9873223,150,1650
338.832454,-26.9867125,200,1650
338.697368,-26.9859627,249,1650
339.383175,-26.8516996,0,1700
339.245493,-26.8515587,50,1700
339.107881,-26.8512621,100,1700
338.970301,-26.8508097,150,1700
338.832718,-26.8502015,200,1700
338.697849,-26.8494541,249,1700
339.38255,-26.7151736,0,1750
339.245089,-26.7150315,50,1750
339.107697,-26.7147346,100,1750
338.970337,-26.7142828,150,1750
338.832975,-26.7136762,200,1750
338.698322,-26.7129312,249,1750
339.381925,-26.5786402,0,1800
339.244683,-26.5784972,50,1800
339.10751,-26.5782002,100,1800
338.970369,-26.5777493,150,1800
338.833225,-26.5771444,200,1800
338.698787,-26.5764021,249,1800
339.381306,-26.4421096,0,1850
339.244282,-26.4419653,50,1850
339.107327,-26.441668,100,1850
338.970403,-26.4412177,150,1850
338.833477,-26.4406144,200,1850
338.699252,-26.4398743,249,1850
339.380687,-26.305567,0,1900
339.24388,-26.3054217,50,1900
339.10714,-26.3051242,100,1900
338.970433,-26.3046746,150,1900
338.833723,-26.3040729,200,1900
338.69971,-26.3033353,249,1900
339.380067,-26.1690293,0,1950
339.243475,-26.1688828,50,1950
339.10695,-26.1685849,100,1950
338.970458,-26.1681359,150,1950
338.833963,-26.1675356,200,1950
338.70016,-26.1668003,249,1950
339.379456,-26.0324752,0,2000
339.243077,-26.0323273,50,2000
339.106766,-26.032029,100,2000
338.970487,-26.0315805,150,2000
338.834205,-26.0309815,200,2000
338.700612,-26.0302485,249,2000
339.378854,-25.895916,0,2050
339.242687,-25.895767,50,2050
339.106588,-25.8954684,100,2050
338.970521,-25.8950204,150,2050
338.834452,-25.894423,200,2050
338.701066,-25.8936923,249,2050
339.378249,-25.7593532,0,2100
339.242293,-25.7592035,50,2100
339.106405,-25.7589053,100,2100
338.970549,-25.7584585,150,2100
338.83469,-25.7578631,200,2100
338.701511,-25.7571352,249,2100
339.377647,-25.6227921,0,2150
339.241901,-25.6226413,50,2150
339.106222,-25.6223427,100,2150
338.970575,-25.6218966,150,2150
338.834926,-25.6213027,200,2150
338.701953,-25.6205772,249,2150
339.377039,-25.4862125,0,2200
339.241501,-25.4860608,50,2200
339.10603,-25.4857622,100,2200
338.970592,-25.4853169,150,2200
338.83515,-25.4847248,200,2200
338.702381,-25.4840018,249,2200
339.376433,-25.3496329,0,2250
339.241102,-25.34948,50,2250
339.105838,-25.3491811,100,2250
338.970607,-25.3487363,150,2250
338.835372,-25.3481456,200,2250
338.702805,-25.3474249,249,2250
339.375837,-25.2130543,0,2300
339.240711,-25.2129003,50,2300
339.105653,-25.2126013,100,2300
338.970626,-25.2121572,150,2300
338.835597,-25.2115681,200,2300
338.703232,-25.2108498,249,2300
339.375234,-25.0764563,0,2350
339.240313,-25.0763015,50,2350
339.105458,-25.0760024,100,2350
338.970636,-25.0755593,150,2350
338.835811,-25.0749719,200,2350
338.703646,-25.0742561,249,2350
339.374634,-24.9398649,0,2400
339.239916,-24.9397088,50,2400
339.105264,-24.9394094,100,2400
338.970645,-24.9389667,150,2400
338.836022,-24.9383806,200,2400
338.704056,-24.937667,249,2400
339.374041,-24.8032627,0,2450
339.239525,-24.8031053,50,2450
339.105075,-24.8028054,100,2450
338.970657,-24.8023632,150,2450
338.836236,-24.8017784,200,2450
338.704467,-24.8010669,249,2450
339.373448,-24.6666496,0,2500
339.239132,-24.666491,50,2500
339.104882,-24.6661909,100,2500
338.970665,-24.6657492,150,2500
338.836444,-24.6651659,200,2500
338.704871,-24.6644567,249,2500
339.372862,-24.5300432,0,2550
339.238745,-24.5298837,50,2550
339.104695,-24.5295834,100,2550
338.970676,-24.5291424,150,2550
338.836654,-24.5285607,200,2550
338.705276,-24.5278538,249,2550
339.372272,-24.3934238,0,2600
339.238353,-24.3932628,50,2600
339.1045,-24.3929618,100,2600
338.970679,-24.3925211,150,2600
