Longitude,Latitude,Pixel,Scan
342.176034,-27.5932195,150,1400
342.040398,-27.5928644,200,1400
341.907488,-27.5923917,249,1400
342.582784,-27.4567746,0,1450
342.447118,-27.4568037,50,1450
342.311571,-27.4567048,100,1450
342.176106,-27.4564781,150,1450
342.040691,-27.4561239,200,1450
341.907999,-27.4556529,249,1450
342.582193,-27.3200291,0,1500
342.446747,-27.3200566,50,1500
342.31142,-27.319957,100,1500
342.176175,-27.3197305,150,1500
342.04098,-27.3193773,200,1500
341.908503,-27.3189082,249,1500
342.581611,-27.1832809,0,1550
342.446384,-27.1833066,50,1550
342.311275,-27.1832061,100,1550
342.176249,-27.1829795,150,1550
342.041273,-27.182627,200,1550
341.90901,-27.1821595,249,1550
342.581022,-27.0465328,0,1600
342.446013,-27.0465566,50,1600
342.311121,-27.046455,100,1600
342.176312,-27.0462283,150,1600
342.041552,-27.0458766,200,1600
341.909502,-27.0454106,249,1600
342.580451,-26.9097695,0,1650
342.445657,-26.9097916,50,1650
342.310981,-26.9096891,100,1650
342.176388,-26.9094624,150,1650
342.041844,-26.9091115,200,1650
341.910005,-26.9086471,249,1650
342.579882,-26.7729955,0,1700
342.445303,-26.7730161,50,1700
342.310841,-26.7729131,100,1700
342.176462,-26.7726865,150,1700
342.042132,-26.7723367,200,1700
341.910504,-26.7718743,249,1700
342.579314,-26.6362128,0,1750
342.444948,-26.6362321,50,1750
342.3107,-26.6361284,100,1750
342.176534,-26.6359022,150,1750
342.042417,-26.6355535,200,1750
341.910997,-26.635093,249,1750
342.578748,-26.4994334,0,1800
342.444594,-26.4994509,50,1800
342.310557,-26.4993464,100,1800
342.176603,-26.4991201,150,1800
342.042697,-26.4987723,200,1800
341.911485,-26.4983134,249,1800
342.578186,-26.3626527,0,1850
342.444242,-26.3626684,50,1850
342.310415,-26.362563,100,1850
342.176671,-26.3623367,150,1850
342.042976,-26.3619897,200,1850
341.911969,-26.3615324,249,1850
342.577625,-26.2258589,0,1900
342.44389,-26.2258732,50,1900
342.310272,-26.2257671,100,1900
342.176737,-26.2255411,150,1900
342.043251,-26.2251951,200,1900
341.912449,-26.2247396,249,1900
342.577068,-26.0890609,0,1950
342.443541,-26.0890737,50,1950
342.310131,-26.088967,100,1950
342.176803,-26.0887411,150,1950
342.043524,-26.0883961,200,1950
341.912926,-26.0879424,249,1950
342.57651,-25.952256,0,2000
342.443189,-25.952267,50,2000
342.309985,-25.9521593,100,2000
342.176864,-25.9519332,150,2000
342.043791,-25.9515889,200,2000
341.913395,-25.9511367,249,2000
342.57595,-25.8154517,0,2050
342.442834,-25.8154609,50,2050
342.309835,-25.8153523,100,2050
342.176918,-25.8151263,150,2050
342.04405,-25.8147827,200,2050
341.913855,-25.8143322,249,2050
342.575394,-25.6786477,0,2100
342.442482,-25.6786555,50,2100
342.309687,-25.6785464,100,2100
342.176973,-25.6783206,150,2100
342.044309,-25.6779781,200,2100
